GW,Simple Avg.,Weighted Avg.,Bootstrap simulation,Monte Carlo Simulation,Exponential Smoothing,Robust Simple Avg.,Robust Weighted Avg.,Robust Exponential Smoothing,"ARIMA (0,0,1)","ARIMA (1,0,0)","ARIMA (0,1,1)","ARIMA (1,0,1)","ARIMA (1,1,0)","ARIMA (1,1,1)","ARIMA (2,1,1)","ARIMA (1,1,2)","ARIMA (2,1,2)",ICT Score,Robust ICT Score,Involvement,Linear Regression,Hybrid Simple Avg. 1:2 (Higher Total Points),Hybrid Simple Avg. 2:1 (Lower Total Points),Hybrid Weighted 1:2 (Higher Total Points),Hybrid Weighted 2:1 (Lower Total Points),Hybrid Exponential Smoothing 1:2 (Higher Total Points),Hybrid Exponential Smoothing 2:1 (Lower Total Points),Hybrid Bootstrap simulation 1:2 (Higher Total Points),Hybrid Bootstrap simulation 2:1 (Lower Total Points),Hybrid Monte Carlo 1:2 (Higher Total Points),Hybrid Monte Carlo 2:1 (Lower Total Points),Hybrid ARIMA 1:2 (Higher Total Points),Hybrid ARIMA 2:1 (Lower Total Points),Hybrid ICT Score 1:2 (Higher Total Points),Hybrid ICT Score 2:1 (Lower Total Points),Hybrid Linear Regression 1:2 (Higher Total Points),Hybrid Linear Regression 2:1 (Lower Total Points),Simple Avg. (Budget = 55),Simple Avg. (Budget = 60),Simple Avg. (Budget = 65),Simple Avg. (Budget = 70),Simple Avg. (Budget = 75),Simple Avg. (Budget = 80),Weighted Avg. (Budget = 60),Monte Carlo (Budget = 60),"ARIMA (1,0,0, Budget = 60)","ARIMA (1,0,1, Budget = 60)",Weighted Avg. (Budget = 65),Monte Carlo (Budget = 65),"ARIMA (1,0,0, Budget = 65)","ARIMA (1,0,1, Budget = 65)",Weighted Avg. (Budget = 70),Monte Carlo (Budget = 70),"ARIMA (1,0,0, Budget = 70)","ARIMA (1,0,1, Budget = 70)",Weighted Avg. (Budget = 75),Monte Carlo (Budget = 75),"ARIMA (1,0,0, Budget = 75)","ARIMA (1,0,1, Budget = 75)",Weighted Avg. (Budget = 80),Monte Carlo (Budget = 80),"ARIMA (1,0,0, Budget = 80)","ARIMA (1,0,1, Budget = 80)","ARIMA (0,0,1, Budget = 65)",Hybrid ICT Score (Budget = 65),"ARIMA (0,0,1, Budget = 70)",Hybrid ICT Score (Budget = 70),"ARIMA (0,0,1, Budget = 75)",Hybrid ICT Score (Budget = 75),"ARIMA (0,0,1, Budget = 80)",Hybrid ICT Score (Budget = 80),ICT Score (Budget = 70),ICT Score (Budget = 75),ICT Score (Budget = 80),Simple Avg. Sequential,Simple Avg. Sequential (Budget = 80),Simple Avg. Sequential (Budget = 70),Simple Avg. Sequential (Budget = 65),Weighted Avg. Sequential,Weighted Avg. Sequential (Budget = 80),Weighted Avg. Sequential (Budget = 70),Weighted Avg. Sequential (Budget = 60),"ARIMA (0,0,1) Sequential","ARIMA (0,0,1) Sequential (Budget = 80)","ARIMA (0,0,1) Sequential (Budget = 70)","ARIMA (0,0,1) Sequential (Budget = 60)","ARIMA (1,0,0) Sequential","ARIMA (1,0,0) Sequential (Budget = 75)","ARIMA (1,0,0) Sequential (Budget = 70)","ARIMA (1,0,0) Sequential (Budget = 60)","ARIMA (1,0,1) Sequential","ARIMA (1,0,1) Sequential (Budget = 80)","ARIMA (1,0,1) Sequential (Budget = 70)","ARIMA (1,0,1) Sequential (Budget = 60)",Santoro (mean-MIP-random alg),Santoro (greedy alg),Santoro (mean-MIP-rank),Santoro (mean-MIP-online)
27,84.0,76.0,84.0,84.0,31.0,71.0,79.0,39.0,76.0,71.0,61.0,78.0,55.0,54.0,66.0,57.0,54.0,75.0,72.0,56.0,58.0,80.0,80.0,76.0,63.0,52.0,68.0,80.0,80.0,80.0,75.0,76.0,74.0,73.0,73.0,56.0,58.0,57.0,78.0,69.0,72.0,79.0,82.0,53.0,76.0,73.0,67.0,58.0,69.0,67.0,69.0,69.0,72.0,76.0,76.0,72.0,79.0,76.0,63.0,72.0,78.0,71.0,70.0,67.0,79.0,77.0,62.0,74.0,75.0,70.0,73.0,56.0,70.0,73.0,84.0,82.0,68.0,69.0,76.0,72.0,72.0,56.0,76.0,70.0,74.0,75.0,71.0,76.0,79.0,64.0,78.0,70.0,78.0,67.0,45,26,52,78
28,41.0,46.0,41.0,41.0,36.0,33.0,42.0,27.0,44.0,41.0,36.0,58.0,36.0,35.0,42.0,42.0,45.0,52.0,38.0,26.0,44.0,29.0,29.0,46.0,45.0,41.0,24.0,29.0,29.0,29.0,35.0,44.0,29.0,28.0,28.0,51.0,52.0,38.0,39.0,31.0,36.0,37.0,42.0,42.0,38.0,32.0,39.0,46.0,44.0,37.0,39.0,46.0,36.0,37.0,42.0,47.0,37.0,58.0,47.0,40.0,36.0,53.0,63.0,35.0,44.0,32.0,47.0,61.0,33.0,40.0,39.0,60.0,49.0,51.0,43.0,45.0,39.0,34.0,46.0,40.0,47.0,47.0,43.0,39.0,47.0,50.0,43.0,58.0,43.0,32.0,60.0,63.0,42.0,44.0,34,40,53,35
29,10.0,7.0,10.0,10.0,1.0,21.0,17.0,15.0,10.0,10.0,6.0,10.0,14.0,3.0,17.0,13.0,15.0,7.0,16.0,5.0,3.0,11.0,11.0,7.0,7.0,3.0,3.0,11.0,11.0,11.0,12.0,8.0,9.0,6.0,6.0,14.0,16.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,6.0,7.0,7.0,7.0,8.0,5.0,7.0,8.0,6.0,5.0,7.0,11.0,6.0,5.0,5.0,8.0,7.0,9.0,8.0,7.0,5.0,11.0,7.0,10.0,5.0,4.0,4.0,4.0,10.0,8.0,7.0,7.0,7.0,5.0,5.0,9.0,10.0,10.0,7.0,9.0,10.0,11.0,8.0,7.0,10.0,7.0,6.0,6.0,36,20,36,44
30,54.0,56.0,54.0,54.0,46.0,30.0,33.0,51.0,56.0,54.0,41.0,61.0,28.0,36.0,35.0,32.0,28.0,33.0,27.0,22.0,42.0,53.0,53.0,56.0,50.0,49.0,42.0,53.0,53.0,53.0,49.0,56.0,55.0,52.0,52.0,42.0,41.0,49.0,49.0,50.0,63.0,58.0,57.0,43.0,49.0,52.0,47.0,49.0,53.0,57.0,53.0,49.0,63.0,60.0,49.0,52.0,58.0,67.0,58.0,58.0,59.0,60.0,60.0,52.0,54.0,58.0,51.0,67.0,45.0,57.0,56.0,46.0,34.0,35.0,54.0,57.0,63.0,50.0,56.0,58.0,52.0,49.0,56.0,59.0,59.0,47.0,56.0,69.0,54.0,52.0,63.0,60.0,49.0,47.0,17,7,26,35
31,40.0,64.0,41.0,40.0,43.0,30.0,43.0,27.0,42.0,40.0,34.0,48.0,31.0,35.0,30.0,24.0,36.0,67.0,68.0,12.0,61.0,47.0,47.0,64.0,59.0,43.0,42.0,47.0,48.0,47.0,43.0,43.0,48.0,50.0,50.0,79.0,78.0,37.0,37.0,37.0,46.0,66.0,64.0,62.0,39.0,54.0,60.0,41.0,46.0,35.0,36.0,60.0,46.0,61.0,53.0,67.0,66.0,69.0,43.0,65.0,62.0,59.0,58.0,44.0,48.0,63.0,67.0,71.0,50.0,65.0,63.0,95.0,85.0,79.0,40.0,66.0,48.0,39.0,64.0,63.0,65.0,62.0,42.0,65.0,62.0,59.0,40.0,71.0,63.0,56.0,48.0,60.0,55.0,62.0,17,10,22,82
32,70.0,71.0,70.0,70.0,28.0,76.0,70.0,35.0,73.0,67.0,62.0,71.0,50.0,52.0,46.0,48.0,50.0,67.0,58.0,50.0,53.0,70.0,70.0,71.0,75.0,44.0,44.0,70.0,70.0,70.0,75.0,73.0,67.0,75.0,75.0,37.0,31.0,57.0,62.0,74.0,69.0,68.0,84.0,66.0,73.0,61.0,58.0,67.0,68.0,55.0,66.0,64.0,69.0,76.0,66.0,63.0,68.0,65.0,71.0,69.0,75.0,72.0,67.0,68.0,63.0,69.0,67.0,71.0,56.0,74.0,77.0,73.0,69.0,76.0,70.0,90.0,75.0,88.0,71.0,69.0,63.0,64.0,73.0,70.0,63.0,74.0,67.0,78.0,82.0,67.0,71.0,73.0,72.0,70.0,37,23,42,31
33,35.0,53.0,35.0,35.0,50.0,35.0,33.0,29.0,24.0,30.0,28.0,55.0,37.0,33.0,34.0,39.0,34.0,41.0,57.0,24.0,52.0,33.0,33.0,53.0,51.0,57.0,28.0,33.0,33.0,33.0,33.0,24.0,28.0,32.0,32.0,52.0,55.0,95.0,79.0,80.0,78.0,61.0,59.0,49.0,78.0,77.0,79.0,65.0,77.0,83.0,72.0,61.0,78.0,79.0,78.0,63.0,61.0,58.0,78.0,60.0,63.0,59.0,74.0,79.0,80.0,69.0,68.0,52.0,46.0,61.0,64.0,56.0,40.0,51.0,35.0,53.0,72.0,76.0,53.0,60.0,61.0,56.0,24.0,61.0,69.0,73.0,30.0,52.0,73.0,71.0,55.0,68.0,72.0,73.0,31,3,40,66
34,85.0,105.0,85.0,85.0,52.0,60.0,98.0,58.0,107.0,91.0,77.0,71.0,68.0,82.0,79.0,76.0,79.0,99.0,105.0,51.0,113.0,104.0,104.0,105.0,118.0,58.0,86.0,104.0,104.0,104.0,92.0,107.0,104.0,130.0,130.0,92.0,75.0,65.0,77.0,86.0,87.0,102.0,91.0,102.0,77.0,58.0,47.0,116.0,85.0,65.0,53.0,119.0,87.0,84.0,64.0,109.0,102.0,83.0,67.0,120.0,95.0,86.0,75.0,86.0,97.0,110.0,116.0,99.0,103.0,113.0,118.0,95.0,109.0,140.0,85.0,107.0,103.0,102.0,105.0,120.0,119.0,102.0,107.0,113.0,93.0,87.0,91.0,83.0,84.0,58.0,71.0,91.0,80.0,63.0,35,7,38,41
35,44.0,54.0,44.0,44.0,41.0,47.0,56.0,42.0,55.0,56.0,50.0,64.0,53.0,44.0,52.0,41.0,46.0,44.0,55.0,55.0,52.0,49.0,49.0,54.0,58.0,41.0,34.0,49.0,49.0,49.0,50.0,55.0,59.0,52.0,52.0,51.0,43.0,54.0,58.0,66.0,64.0,56.0,50.0,63.0,55.0,76.0,70.0,61.0,48.0,67.0,69.0,62.0,64.0,67.0,67.0,57.0,56.0,74.0,63.0,56.0,43.0,63.0,66.0,70.0,40.0,62.0,44.0,73.0,53.0,53.0,51.0,56.0,53.0,55.0,34.0,49.0,64.0,61.0,54.0,61.0,62.0,64.0,55.0,53.0,62.0,70.0,56.0,74.0,66.0,70.0,54.0,66.0,66.0,71.0,23,4,28,46
36,62.0,69.0,62.0,62.0,77.0,51.0,51.0,63.0,78.0,81.0,61.0,74.0,70.0,83.0,70.0,70.0,67.0,52.0,76.0,68.0,79.0,57.0,57.0,69.0,63.0,79.0,76.0,57.0,57.0,57.0,50.0,78.0,65.0,62.0,62.0,81.0,81.0,75.0,52.0,51.0,53.0,52.0,63.0,52.0,54.0,69.0,65.0,54.0,45.0,64.0,69.0,57.0,53.0,75.0,72.0,58.0,52.0,67.0,72.0,69.0,63.0,79.0,83.0,57.0,44.0,63.0,55.0,64.0,47.0,67.0,65.0,56.0,48.0,48.0,62.0,60.0,53.0,59.0,69.0,73.0,62.0,54.0,78.0,77.0,64.0,62.0,81.0,62.0,80.0,61.0,74.0,80.0,88.0,63.0,21,23,52,65
37,58.0,71.0,58.0,58.0,49.0,53.0,62.0,31.0,60.0,55.0,49.0,62.0,35.0,45.0,41.0,52.0,46.0,56.0,43.0,39.0,69.0,65.0,65.0,71.0,63.0,45.0,47.0,65.0,65.0,65.0,68.0,60.0,62.0,65.0,65.0,62.0,56.0,57.0,66.0,62.0,65.0,68.0,68.0,54.0,66.0,43.0,42.0,58.0,66.0,51.0,48.0,68.0,65.0,71.0,66.0,71.0,68.0,70.0,57.0,69.0,68.0,61.0,61.0,57.0,76.0,75.0,70.0,75.0,58.0,70.0,73.0,73.0,61.0,62.0,58.0,81.0,73.0,63.0,71.0,74.0,76.0,58.0,60.0,74.0,79.0,72.0,55.0,75.0,92.0,52.0,63.0,67.0,85.0,61.0,17,15,25,47
38,42.0,45.0,42.0,42.0,40.0,37.0,46.0,42.0,41.0,47.0,47.0,65.0,37.0,50.0,41.0,38.0,40.0,70.0,61.0,29.0,62.0,35.0,35.0,45.0,49.0,40.0,50.0,35.0,35.0,35.0,48.0,45.0,39.0,33.0,33.0,61.0,60.0,27.0,26.0,37.0,25.0,40.0,45.0,28.0,27.0,37.0,46.0,26.0,32.0,33.0,46.0,35.0,25.0,55.0,52.0,41.0,40.0,55.0,38.0,45.0,41.0,52.0,74.0,34.0,29.0,39.0,44.0,53.0,38.0,39.0,40.0,66.0,71.0,68.0,43.0,56.0,23.0,35.0,50.0,40.0,36.0,33.0,41.0,43.0,39.0,24.0,43.0,53.0,48.0,35.0,65.0,72.0,50.0,44.0,8,13,6,53
